plan;tariff_type;time_zone;energy_eur_per_kwh;fixed_eur_per_month;capacity_eur_per_kw_month
STANDARD;single;all_day;0.092;0;0
STANDARD;two;day;0.107;0;0
STANDARD;two;night_weekend;0.059;0;0
STANDARD;four;night;0.052;0;0
STANDARD;four;morning;0.069;0;0
STANDARD;four;day;0.086;0;0
STANDARD;four;evening;0.121;0;0
EFFICIENT;single;all_day;0.073;0;0.8264
EFFICIENT;two;day;0.084;0;0.8264
EFFICIENT;two;night_weekend;0.047;0;0.8264
EFFICIENT;four;night;0.042;0;0.8264
EFFICIENT;four;morning;0.054;0;0.8264
EFFICIENT;four;day;0.068;0;0.8264
EFFICIENT;four;evening;0.094;0;0.8264
HOME;single;all_day;0.079;2.4793;0
HOME;two;day;0.091;2.4793;0
HOME;two;night_weekend;0.051;2.4793;0
